old_slug,new_slug,old_url,new_url,title
en-bitutokoin1500mo-yuan-tu-po-yu-ce-ji-guan-tou-zi-jia-nocan-ru-gasheng-mu-sheng-zhe-zong-qu-ri-nogou-zao-zhuan-huan,bitcoin-predicted-to-surpass-15-million,/en/en-bitutokoin1500mo-yuan-tu-po-yu-ce-ji-guan-tou-zi-jia-nocan-ru-gasheng-mu-sheng-zhe-zong-qu-ri-nogou-zao-zhuan-huan/,/en/bitcoin-predicted-to-surpass-15-million/,Bitcoin Predicted to Surpass ¥15 Million
en-denmakuzong-xuan-ju-nochong-ji-gurinrandofang-wei-gazhao-itayu-dang-beng-huai-tobei-ou-zhi-xu-nozai-bian,the-shock-of-the-danish-general-election-the-collapse-of,/en/en-denmakuzong-xuan-ju-nochong-ji-gurinrandofang-wei-gazhao-itayu-dang-beng-huai-tobei-ou-zhi-xu-nozai-bian/,/en/the-shock-of-the-danish-general-election-the-collapse-of/,The Shock of the Danish General Election — The Collapse of
en-gaza-ping-he-ping-yi-hui-guo-lian-chu-bao-gao-zheng-tong-xing-nakitong-zhi-gasheng-muzhong-dong-zhi-xu-nokong-bai,gaza-peace-council-first-un-report,/en/en-gaza-ping-he-ping-yi-hui-guo-lian-chu-bao-gao-zheng-tong-xing-nakitong-zhi-gasheng-muzhong-dong-zhi-xu-nokong-bai/,/en/gaza-peace-council-first-un-report/,"Gaza ""Peace Council"" - First UN Report"
en-nan-sinahai-nomi-zhong-jun-shi-dui-zhi-dui-li-noluo-xuan-gaou-fa-chong-tu-risukuwolin-jie-dian-heya-sishang-gerugou-zao,us-china-military-standoff-in-the-south-china,/en/en-nan-sinahai-nomi-zhong-jun-shi-dui-zhi-dui-li-noluo-xuan-gaou-fa-chong-tu-risukuwolin-jie-dian-heya-sishang-gerugou-zao/,/en/us-china-military-standoff-in-the-south-china/,US-China Military Standoff in the South China
en-bei-zhao-xian-misairuzai-kai-dui-li-noluo-xuan-gapo-ruri-ben-fang-wei-ti-zhi-nogou-zao-zhuan-huan,north-korea-resumes-missile-launches-spiral-of,/en/en-bei-zhao-xian-misairuzai-kai-dui-li-noluo-xuan-gapo-ruri-ben-fang-wei-ti-zhi-nogou-zao-zhuan-huan/,/en/north-korea-resumes-missile-launches-spiral-of/,North Korea Resumes Missile Launches — Spiral of
en-nan-sinahai-nomi-zhong-jun-shi-dui-zhi-dui-li-noluo-xuan-gaou-fa-chong-tu-noyu-zhi-woxia-gerugou-zao-4,us-china-military-standoff-in-the-south-china-sea,/en/en-nan-sinahai-nomi-zhong-jun-shi-dui-zhi-dui-li-noluo-xuan-gaou-fa-chong-tu-noyu-zhi-woxia-gerugou-zao-4/,/en/us-china-military-standoff-in-the-south-china-sea/,US-China Military Standoff in the South China Sea
en-ri-ben-defigui-zhi-fa-an-gui-zhi-nobu-huo-gaan-hao-zi-chan-shi-chang-nogou-zao-wobian-eru,japans-defi-regulation-bill-regulatory-capture-to,/en/en-ri-ben-defigui-zhi-fa-an-gui-zhi-nobu-huo-gaan-hao-zi-chan-shi-chang-nogou-zao-wobian-eru/,/en/japans-defi-regulation-bill-regulatory-capture-to/,"Japan's DeFi Regulation Bill — ""Regulatory Capture"" to"
en-bitutokoin1000mo-yuan-tu-po-he-ji-guan-maneliu-ru-gabian-eruan-hao-zi-chan-nogou-zao-de-di-wei,bitcoin-poised-to-surpass-10-million,/en/en-bitutokoin1000mo-yuan-tu-po-he-ji-guan-maneliu-ru-gabian-eruan-hao-zi-chan-nogou-zao-de-di-wei/,/en/bitcoin-poised-to-surpass-10-million/,Bitcoin Poised to Surpass ¥10 Million
en-frbli-xia-gedong-jie-noshen-ceng-zhong-dong-risukutoinhurezai-ran-gafu-rujin-rong-zheng-ce-nojing-lu-yi-cun,the-deeper-meaning-behind-the-feds,/en/en-frbli-xia-gedong-jie-noshen-ceng-zhong-dong-risukutoinhurezai-ran-gafu-rujin-rong-zheng-ce-nojing-lu-yi-cun/,/en/the-deeper-meaning-behind-the-feds/,The Deeper Meaning Behind the Fed's
en-ri-ben-defigui-zhi-qiang-hua-jin-rong-ting-no-bu-huo-gaan-hao-zi-chan-inobesiyonwozhi-xi-saserugou-zao,japan-strengthens-defi-regulations-fsas,/en/en-ri-ben-defigui-zhi-qiang-hua-jin-rong-ting-no-bu-huo-gaan-hao-zi-chan-inobesiyonwozhi-xi-saserugou-zao/,/en/japan-strengthens-defi-regulations-fsas/,Japan Strengthens DeFi Regulations — FSA's
en-bitutokoin1000mo-yuan-tu-po-nogou-zao-ji-guan-tou-zi-jia-nocan-ru-gabian-eruan-hao-zi-chan-nodi-que-bian-dong,the-structure-behind-bitcoin-surpassing-10-million,/en/en-bitutokoin1000mo-yuan-tu-po-nogou-zao-ji-guan-tou-zi-jia-nocan-ru-gabian-eruan-hao-zi-chan-nodi-que-bian-dong/,/en/the-structure-behind-bitcoin-surpassing-10-million/,The Structure Behind Bitcoin Surpassing 10 Million
en-euhao-zhou-ftatuo-jie-toranpuguan-shui-gajia-su-saseta-tuo-mi-yi-cun-mao-yi-zai-bian-nogou-zao,eu-australia-fta-concluded-the-structure-of,/en/en-euhao-zhou-ftatuo-jie-toranpuguan-shui-gajia-su-saseta-tuo-mi-yi-cun-mao-yi-zai-bian-nogou-zao/,/en/eu-australia-fta-concluded-the-structure-of/,"EU-Australia FTA Concluded — The Structure of """
en-tai-wan-hai-xia-nojun-shi-jin-zhang-dui-li-noluo-xuan-gari-mi-tong-meng-nogou-zao-de-bian-rong-wopo-ru,military-tensions-in-the-taiwan-strait-a-spiral-of-confront,/en/en-tai-wan-hai-xia-nojun-shi-jin-zhang-dui-li-noluo-xuan-gari-mi-tong-meng-nogou-zao-de-bian-rong-wopo-ru/,/en/military-tensions-in-the-taiwan-strait-a-spiral-of-confront/,Military Tensions in the Taiwan Strait — A Spiral of Confront
en-gaza-ping-he-ping-yi-hui-guo-lian-chu-bao-gao-zheng-tong-xing-nakitong-zhi-gou-zao-gasheng-muzhong-dong-zhi-xu-nokong-bai,uns-first-report-on-gazas-peace,/en/en-gaza-ping-he-ping-yi-hui-guo-lian-chu-bao-gao-zheng-tong-xing-nakitong-zhi-gou-zao-gasheng-muzhong-dong-zhi-xu-nokong-bai/,/en/uns-first-report-on-gazas-peace/,"UN's First Report on Gaza's ""Peace"
